hypothesis,evidences,label
"Patients with cytologically confirmed breast cancer, who's Locally recurrent disease is amenable to radiation with curative intent are not eligible for NCT00656019, but are eligible for NCT01506609.","[""Inclusion Criteria:"", ""  Histologically or cytologically confirmed breast cancer that is either locally recurrent or metastatic."", ""  Locally recurrent disease must not be amenable to surgical resection or radiation with curative intent.""]",Contradiction
"Women with leptomeningeal metastases are unfortunately excluded from NCT00627978, as it would prevent them from giving informed consent to study entry.","[""  Exclusion Criteria"", ""  Patients with known and active brain and/or leptomeningeal metastases should be excluded from this clinical trial because of their poor prognosis and because they often develop progressive neurologic dysfunction that would confound the evaluation of neurologic and other adverse events.""]",Contradiction
Cohort 1 of NCT02513472 produced better Objective Response Rate results than cohort 2.,"[""Outcome Measurement: "", ""  Objective Response Rate (ORR)"", ""  ORR was defined as percentage of participants with confirmed best overall response (BOR) of complete response (CR) or partial response (PR) using independent imaging review (IIR) based on Response Evaluation Criteria in Solid Tumors (RECIST) 1.1. BOR of CR and PR was confirmed by a subsequent CR assessment and CR or PR assessment, respectively at least 4 weeks later. CR: disappearance of all measurable, non-measurable lesions and no unequivocal new lesions. Any pathological lymph nodes (target or non-target) had to be reduced in short axis to less than (<) 10 millimeter (mm). PR: at least a 30 percent (%) decrease in sum of diameters (SOD) of target lesions, taking as reference the baseline SOD and there are no unequivocal new lesions, and no progression of non-target disease. The 2-sided 95% confidence interval (CI) calculated by Clopper-Pearson method. As planned, data up to the primary completion date only were analyzed."", ""  Time frame: From date of first dose of study drug administration to date of first documentation of disease progression or death, whichever occurred first (up to 3 years 11 months)"", ""Results 1: "", ""  Arm/Group Title: Stratum 1: Eribulin Mesylate + Pembrolizumab"", ""  Arm/Group Description: Participants with mTNBC who were never treated with systemic anticancer therapy in the metastatic setting received eribulin mesylate 1.4 mg/m^2, intravenous infusion on Days 1 and 8 and pembrolizumab 200 mg, intravenous infusion on Day 1 in Treatment Cycle 1 (safety run-in, Phase 1b) and then continued in each 21-days Treatment Cycles in the presence of clinical benefit until confirmed disease progression, development of unacceptable toxicity, participant request, withdrawal of consent, or study termination by the sponsor in Phase 2 in the Stratum 1."", ""  Overall Number of Participants Analyzed: 66"", ""  Measure Type: Number"", ""  Unit of Measure: percentage of participant  25.8        (15.8 to 38.0)"", ""Results 2: "", ""  Arm/Group Title: Stratum 2: Eribulin Mesylate + Pembrolizumab"", ""  Arm/Group Description: Participants with mTNBC previously treated with 1 to 2 lines of systemic anticancer therapy in the metastatic setting received eribulin mesylate 1.4 mg/m^2, intravenous infusion on Days 1 and 8 and pembrolizumab 200 mg, intravenous infusion on Day 1 in Treatment Cycle 1 (safety run-in, Phase 1b) and then continued in each 21-days Treatment Cycles in the presence of clinical benefit until confirmed disease progression, development of unacceptable toxicity, participant request, withdrawal of consent, or study termination by the sponsor in Phase 2 in the Stratum 2."", ""  Overall Number of Participants Analyzed: 101"", ""  Measure Type: Number"", ""  Unit of Measure: percentage of participant  21.8        (14.2 to 31.1)""]",Entailment
NCT01237327 and NCT00030823 do not have any overlapping inclusion or exclusion criteria.,"[""Inclusion Criteria:"", ""  Previous participation in study 971-ONC-0028-080."", ""Exclusion Criteria:"", ""  Subjects who had not previously participated in study 971-ONC-0028-080.""]",Entailment
More than 2% of patients in NCT00129376 experienced a clinically significant inflammation of the back of the throat.,"[""Adverse Events 1:"", ""  Acute Pharyngitis * 1/63 (1.59%)""]",Contradiction
"compared to cohort 1 of NCT00475670, other than sudden death, there are more cases of every observed adverse event in cohort 2. ","[""Adverse Events 1:"", ""  Total: 0/3 (0.00%)"", ""  Febrile Neutropenia * 0/3 (0.00%)"", ""  Neutropenia * 0/3 (0.00%)"", ""  Sudden Death * 0/3 (0.00%)"", ""  Bacterial Infection * 0/3 (0.00%)"", ""  Bronchitis * 0/3 (0.00%)"", ""  Sepsis * 0/3 (0.00%)"", ""  Lymphoedema * 0/3 (0.00%)"", ""Adverse Events 2:"", ""  Total: 6/41 (14.63%)"", ""  Febrile Neutropenia * 1/41 (2.44%)"", ""  Neutropenia * 1/41 (2.44%)"", ""  Sudden Death * 1/41 (2.44%)"", ""  Bacterial Infection * 1/41 (2.44%)"", ""  Bronchitis * 1/41 (2.44%)"", ""  Sepsis * 1/41 (2.44%)"", ""  Lymphoedema * 1/41 (2.44%)""]",Contradiction
"Although there is a much higher percentage of patients with Enterocolitis in NCT01498458 than in cohort 1 of NCT03176238, no robust comparisons can be made due to the significant differences in cohort sizes.","[""Adverse Events 1:"", ""  Total: 59/199 (29.65%)"", ""  Anaemia 7/199 (3.52%)"", ""  Thrombocytopenia 2/199 (1.01%)"", ""  Acute myocardial infarction 0/199 (0.00%)"", ""  Atrial fibrillation 1/199 (0.50%)"", ""  Cardiac arrest 1/199 (0.50%)"", ""  Cardiac failure 1/199 (0.50%)"", ""  Cardiopulmonary failure 1/199 (0.50%)"", ""  Left ventricular failure 1/199 (0.50%)"", ""  Supraventricular tachycardia 0/199 (0.00%)"", ""  Ventricular tachycardia 1/199 (0.50%)""]",Contradiction
"There were more patients with significantly elevated blood pressure in cohort 1 of NCT01332630, than in cohort 1 of NCT00121134.","[""Adverse Events 1:"", ""  Total: 6/21 (28.57%)"", ""  Hypertension 3/21 (14.29%)"", ""  Edema 3/21 (14.29%)"", ""  Nausea 2/21 (9.52%)"", ""  Fracture 1/21 (4.76%)"", ""  Dizziness 3/21 (14.29%)"", ""  Syncope 2/21 (9.52%)"", ""  Headache 2/21 (9.52%)"", ""  Dyspnea 2/21 (9.52%)"", ""  Hypoxia 3/21 (14.29%)""]",Entailment
NCT00423917 and NCT00082641 both report cases of confusion in all their patient cohorts.,"[""Adverse Events 1:"", ""  Confusion 1/33 (3.03%)""]",Contradiction
There were more cases of Anemia and vomiting in NCT01091454 than NCT00054275.,"[""Adverse Events 1:"", ""  Total: 29/48 (60.42%)"", ""  Anemia 4/48 (8.33%)"", ""  Febrile neutropenia 7/48 (14.58%)"", ""  Atrial fibrillation 1/48 (2.08%)"", ""  Pericardial effusion 1/48 (2.08%)"", ""  Sinus bradycardia 1/48 (2.08%)"", ""  Nausea 2/48 (4.17%)"", ""  Vomiting 2/48 (4.17%)"", ""  Death NOS 1/48 (2.08%)"", ""  Fatigue 3/48 (6.25%)"", ""  Allergic reaction 1/48 (2.08%)"", ""  Lung infection 1/48 (2.08%)"", ""  Mucosal infection 1/48 (2.08%)""]",Entailment
